"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"uc001yri.4","CRIP1",-0.589183826894317,13.9686566555643,-7.67670614404579,1.45289340978774e-08,1.90951705286389e-07,8.6000732913277
"uc001ymb.4","RCOR1",0.537172842923903,13.1198110977144,7.59280924987398,1.81242786841964e-08,2.25328870127847e-07,8.45424992209376
"uc010tux.2","RPS6KL1",3.34477174366289,5.48904706745757,7.08887205991057,6.96005176444554e-08,7.44563677126732e-07,8.1632747890693
"uc001wxn.1","METTL21D",3.27775885704022,4.36660602204595,7.10130864017319,6.73040132493237e-08,7.37139192730688e-07,8.12270156931425
"uc001ygi.4","CCNK",0.569881620955968,12.5958563460149,7.40585890338624,2.97546900753707e-08,3.50952754735142e-07,8.07750965446289
"uc001ypq.4","LINC00638",-2.1170600609673,7.27067033066861,-7.01369630233762,8.52802558804895e-08,8.91566311477845e-07,7.98956806479718
"uc001yks.2","DYNC1H1",-0.260154170799989,18.2246540581295,-7.71631159658061,1.30927506248264e-08,1.77137214335886e-07,7.90448761791173
"uc001xhc.3","ZBTB25",3.18808500110182,4.1411681974757,6.94601984231066,1.02448858863472e-07,1.02448858863472e-06,7.72768557553147
"uc010tvk.1","AHSA1",3.0698732245192,4.25312411124462,6.86614956851288,1.27287819245782e-07,1.24579567772467e-06,7.57308941336132
"uc001xrt.3","C14orf1",0.509244334377595,12.9363249885914,7.18477768472449,5.37569343600365e-08,6.031265806248e-07,7.40805019453801
"uc001wpg.4","CBLN3",-1.50522083845217,8.16140703535919,-6.7928221776913,1.55450978983921e-07,1.48973854859591e-06,7.2832372534792
"uc001xqj.4","YLPM1",-0.788022420015063,11.0689792046839,-6.96616860941596,9.69993863654487e-08,9.91549282846808e-07,7.20907348314264
"uc001ynf.2","CKB",-0.444831629313228,17.2072567553596,-7.2348204850358,4.69977715375135e-08,5.40474372681405e-07,6.82439118010478
"uc001whe.3","LRP10",0.64760842839676,11.0431385098647,6.60723028077743,2.584233061766e-07,2.42601471104563e-06,6.13335328179976
"uc001xol.1","ACOT1",-0.625774420876986,11.608924424822,-6.44022878833306,4.0940593942037e-07,3.69268102222295e-06,5.66314647520966
"uc001yoy.4","INF2",-1.26133354063611,8.40859123588537,-6.06917106227425,1.14746960350438e-06,9.77474106688919e-06,5.2593840452827
"uc001ymi.1","CDC42BPB",-0.395353474709943,14.7261710018032,-6.46420848266402,3.83173381205673e-07,3.5251951070922e-06,5.13991896135636
"uc001ybj.3","MOAP1",-0.701894102518091,10.8221776194152,-6.20401120713705,7.88060452791492e-07,6.9713040054632e-06,5.12830278683997
"uc001wml.1","RNF31",-3.46073196106316,4.71841539221934,-5.80321241482658,2.41609277965671e-06,1.94982926077559e-05,4.7184164256086
"uc001xft.3","SNAPC1",0.841059221842841,9.48541166107298,5.98650840789818,1.44559741972283e-06,1.20904511467727e-05,4.66475853733535
"uc001xhd.4","AKAP5",1.59167405995225,6.52381996212377,5.78668589571729,2.53084550337803e-06,2.00722229578257e-05,4.64832534582073
"uc001ycq.3","IFI27L2",-2.25397353735862,6.6308246695905,-5.70095907615774,3.22027055669502e-06,2.46887409346618e-05,4.52166906188393
"uc001wgl.2","DAD1",0.386391183222679,13.5455669890563,6.13789587267831,9.47328661578856e-07,8.22209781747686e-06,4.39438914179818
"uc001wwl.4","RPS29",-1.89933084767327,7.21487202763715,-5.5653372815372,4.71735787802238e-06,3.4444200379211e-05,4.08808969704558
"uc001wxg.4","ARF6",-0.664908385260686,10.9542388430045,-5.83669748882034,2.19938730217904e-06,1.80663956964707e-05,4.078741902594
"uc001xes.3","DHRS7",-0.835866782870436,10.041860132361,-5.77012591250756,2.65133435829495e-06,2.06714204206047e-05,4.05657615461901
"uc031qqj.1","SETD3",2.64263760012872,3.97228389240734,5.3844799203661,7.85648685539014e-06,5.47573326284768e-05,3.68679314567445
"uc001wsa.4","EGLN3",-1.06192959020064,8.61025707012041,-5.50849040947646,5.53714100007495e-06,3.91859209236073e-05,3.60842636667704
"uc001xbr.3","LGALS3",0.812249981764085,9.24914744270604,5.52592466235931,5.27156180975646e-06,3.78893505076245e-05,3.43168419069298
"uc001xqb.3","AREL1",-0.45278365597351,12.5205512942715,-5.60838148892807,4.17869215336282e-06,3.1511449025359e-05,3.11313199446772
"uc010tyc.2","APOPT1",0.805559161438605,9.15695095787927,5.32698604500997,9.24108733095018e-06,6.34462712274191e-05,2.94808045754038
"uc001wtf.4","NFKBIA",-0.379834592627706,13.4080220566862,-5.59431367682955,4.34757498388509e-06,3.2256201493341e-05,2.93630771088958
"uc001xcx.4","NAA30",-1.15003111263732,8.4884058933782,-5.17459312659394,1.42123407426876e-05,9.20799541075533e-05,2.73271452919051
"uc001yml.1","BC017818",-1.87497448465373,6.28244300993027,-5.00283474441796,2.30876539888802e-05,0.000145483847053218,2.65040212622452
"uc001wpf.4","NYNRIN",-0.831495869747059,9.08634134619596,-5.19515102515126,1.34104283026732e-05,8.81256717032811e-05,2.59580821476177
"uc031qns.1","PPP1R3E",-1.4894638179226,7.12707935888148,-4.988120111592,2.40672299864617e-05,0.000149607105321249,2.491850731935
"uc001wvk.3","FBXO33",-0.571439613263234,11.1393622987819,-5.23062973189392,1.21315109506068e-05,8.0876739670712e-05,2.34592726119735
"uc001wlj.2","LRRC16B",-1.98857770579947,6.70907750779847,-4.89918521765541,3.09356855495376e-05,0.000187242307273517,2.34306694895143
"uc001wvu.3","FAM179B",2.56430186087031,3.30663348904232,4.83582725904907,3.69899972910658e-05,0.000220979204595978,2.25252054100096
"uc001xpd.3","FAM161B",-1.4641211357602,7.68438676944184,-4.93452014483699,2.7999358731636e-05,0.000171729400220701,2.2246620106873
"uc001ygz.2","BC014138",0.363000673141979,13.064030332466,5.2957257515228,1.00939704073554e-05,6.82827409909335e-05,2.11404253627279
"uc001yom.4","TDRD9",-0.539152333038547,11.2670860928343,-5.10521100125727,1.72899126141278e-05,0.000110463330590261,1.97330627183783
"uc010tqv.2","PSMC6",2.38704004862481,4.20659253214686,4.71581919909894,5.18739274493144e-05,0.000297305026977878,1.93971198919042
